₽	рубль
₽	рубля
₽	рублей
₽	рублю
₽	рублем
₽	рублём
₽	рубле
$	доллар
$	доллара
$	долларов
$	доллару
$	долларом
$	долларе
$	доллар сша
$	доллара сша
$	долларов сша
€	евро
₴	гривна
₴	гривны
₴	гривен
₴	гривне
₴	гривной
£	фунт
£	фунта
£	фунтов
£	фунт стерлингов
£	фунта стерлингов
£	фунтов стерлингов
zł	злотый
zł	злотых
zł	злотого
¥	иена
¥	иены
¥	иен
¥	юань
¥	юаня
¥	юаней
CHF	швейцарский франк
CHF	швейцарского франка
CHF	швейцарских франков
C$	канадский доллар
C$	канадского доллара
C$	канадских долларов
A$	австралийский доллар
A$	австралийского доллара
A$	австралийских долларов
SEK	шведская крона
SEK	шведские кроны
SEK	шведских крон
CZK	чешская крона
CZK	чешские кроны
CZK	чешских крон
NOK	норвежская крона
NOK	норвежские кроны
NOK	норвежских крон
DKK	датская крона
DKK	датские кроны
DKK	датских крон
₹	рупия
₹	рупии
₹	рупий
₪	шекель
₪	шекеля
₪	шекелей
₸	тенге
฿	бат
฿	бата
฿	батов
₺	лира
₺	лиры
₺	лир
R$	реал
R$	реала
R$	реалов
₩	вона
₩	воны
₩	вон
AED	дирхам
AED	дирхама
AED	дирхамов
₿	биткоин
₿	биткоина
₿	биткоинов
₿	биткойн
₿	биткойна
₿	биткойнов
₾	лари
